uitkomstmaat,model,ggd_regio,b,ll,ul,referentie_regio,beta_referentie_regio,goedkoper_dan_ref_regio,duurder_dan_ref_regio,verschil,se,t,pvalue,type_uitkomstmaat
TotaleZorgkosten,1,GGD Groningen,2200.809,2054.313,2347.304,GGD Groningen,2200.809,False,False,0.0,7474382.0,29.44,0.0,Kosten
TotaleZorgkosten,1,GGD Fryslân,2286.235,2132.77,2439.7,GGD Groningen,2200.809,False,False,0.0,7829961.0,29.2,0.0,Kosten
TotaleZorgkosten,1,GGD Drenthe,2308.475,2081.192,2535.759,GGD Groningen,2200.809,False,False,0.0,1159627.0,19.91,0.0,Kosten
TotaleZorgkosten,1,GGD IJsselland,2271.218,2111.888,2430.548,GGD Groningen,2200.809,False,False,0.0,8129178.0,27.94,0.0,Kosten
TotaleZorgkosten,1,GGD Regio Twente,2415.586,2167.587,2663.584,GGD Groningen,2200.809,False,False,0.0,1265318.0,19.09,0.0,Kosten
TotaleZorgkosten,1,GGD Noord- en Oost-Gelderland,2273.445,2156.378,2390.513,GGD Groningen,2200.809,False,False,0.0,5972903.0,38.06,0.0,Kosten
TotaleZorgkosten,1,Veiligheids- en Gezondheidsregio Gelderland-Midden,2229.307,2069.131,2389.482,GGD Groningen,2200.809,False,False,0.0,8172332.0,27.28,0.0,Kosten
TotaleZorgkosten,1,GGD Gelderland-Zuid,2355.923,2139.71,2572.137,GGD Groningen,2200.809,False,False,0.0,1103147.0,21.36,0.0,Kosten
TotaleZorgkosten,1,GGD Regio Utrecht,2133.688,2034.828,2232.548,GGD Groningen,2200.809,False,False,0.0,5043933.0,42.3,0.0,Kosten
TotaleZorgkosten,1,GGD Hollands-Noorden,2091.365,1970.997,2211.734,GGD Groningen,2200.809,False,False,0.0,614134.0,34.05,0.0,Kosten
TotaleZorgkosten,1,GGD Zaanstreek/Waterland,2333.326,2195.836,2470.816,GGD Groningen,2200.809,False,False,0.0,7014914.0,33.26,0.0,Kosten
TotaleZorgkosten,1,GGD Kennemerland,2211.296,2076.582,2346.009,GGD Groningen,2200.809,False,False,0.0,6873218.0,32.17,0.0,Kosten
TotaleZorgkosten,1,GGD Amsterdam,2326.613,2137.539,2515.686,GGD Groningen,2200.809,False,False,0.0,9646747.0,24.12,0.0,Kosten
TotaleZorgkosten,1,GGD Gooi en Vechtstreek,2310.381,2100.845,2519.918,GGD Groningen,2200.809,False,False,0.0,1069081.0,21.61,0.0,Kosten
TotaleZorgkosten,1,GGD Haaglanden,2423.46,2266.766,2580.155,GGD Groningen,2200.809,False,False,0.0,7994738.0,30.31,0.0,Kosten
